Abstract Number,DOI,Title,Abstract,Battery_Type,Recycling_Process_Used,Process_Conditions/Battery_Properties,Recovered_Materials (from abstract),Final Max Temperature,Recovered Materials,Efficiencies,Type of %,Recovered Element 1,Efficiency 1 (%),Recovered Element 2,Efficiency 2 (%),Recovered Element 3,Efficiency 3 (%),Recovered Element 4,Efficiency 4 (%),Recovered Element 5,Efficiency 5 (%),Total Cost Approx. ($),Total Energy Approx. (J)
80,10.1016/j.hydromet.2009.09.012,"Recovery of Ni, Co and rare earths from spent Niâ€“metal hydride batteries and preparation of spherical Ni(OH)2","A hydrometallurgical procedure has been developed for the separation and recovery of nickel, cobalt and rare earths (RE) from spent Niâ€“MH batteries. In the process of separation and recovery, the positive and negative electrode materials were merged and leached with 3M H2SO4 at 95Â°C. In this stage, about 94.8% of rare earths were separated from other metals due to the low solubility of RESO4 at relatively high temperature. Then iron, zinc and manganese (together with the remaining 5.2% rare earths) were almost completely separated from nickel and cobalt by solvent extraction with 20% P204. Rare earths in the organic phase were recovered by stripping with 2M HCl after scrubbing Zn and Mn. Most rare earth sulphates remaining in the leach residue were transformed to RE(OH)3 by treatment with NaOH and then redissolved from the filter cake as RECl3 by using the rare earth strip liquor and additional HCl. Cobalt was easily separated from nickel by solvent extraction with 20% Cyanex 272 and pure cobalt and nickel sulphates were recovered from evaporation of the strip liquor and raffinate respectively. Finally, spherical nickel hydroxide powder was synthesized from the pure nickel sulphate, which is an important starting material for Niâ€“MH batteries. The overall recovery efficiency for rare earths, cobalt and nickel exceeded 98%.",Lithium-ion batteries (LIBs),roasting-leaching-solvent extraction-electrowinning process,"400 Â°C, 200 Â°C, 100 Â°C, 100 Â°C, 200 Â°C, 400 Â°C","Li, Co, Ni, Mn, Fe",400,Cobalt (Co)|Nickel (Ni)|Rare Earth Elements (REEs),98|98|98,recovery efficiency,Co,98%,Ni,98%,REEs,98%,,,,,46.7,162366.4
82,10.1016/j.seppur.2024.127279,Enhanced selective separation of valuable metals from spent lithium-ion batteries by aluminum synergistic sulfation roasting strategy,"Recycling of spent lithium-ion batteries has become crucial due to the current situation of resource shortage and environmental pollution. Herein, the proposed process fully utilizes cheap ammonium sulfate as sulfating agent and aluminum foil of spent lithium-ion batteries itself as reducing agent for synergistically roasting the cathode material. Thermodynamic analysis and experimental results show that, different from conventional sulfation and thermite reduction roasting, aluminum synergistic sulfation roasting converts Li in the cathode material to water-soluble Li2SO4 instead of LiMn2O4 and LiAlO2, and reduces transition metals to acid-soluble low-valent oxides instead of high-valent oxides or metal elements. The effects of roasting temperature, ammonium sulfate dosage, and roasting time on the phase transformation were studied. Under the optimal roasting parameters (T = 600 Â°C, n[(NH4)2SO4]:n(2Li) = 1.4, t = 1.0 h) of spent ternary cathode, the water leaching efficiency of Li is 97.2 % with less than 0.5 % of Al and transition metals being co-leached. Subsequently, more than 96 % of Al and 99 % of transition metals can be extracted through alkaline and non-reducing agent acid leaching, respectively. This work provides a potential approach and valuable technical reference for the efficient and selective recovery of valuable metals directly from the spent ternary cathode with high aluminum content.",Lithium-ion batteries (LIBs),roasting-leaching process,"roasting temperature of 600 Â°C, dosage of (NH4)2SO4:2Li of 1.4, roasting time of 1.0 h","alkaline and non-reducing agent acid leaching, water-soluble Li2SO4",600,Lithium (Li)|Aluminium (Al),97.2|0.5,leaching efficiency,Li,97.20%,Al,0.50%,,,,,,,205.9525,1194498.69
148,10.1016/j.wasman.2017.05.027,Recovery of zinc and cadmium from spent batteries using Cyphos IL 102 via solvent extraction route and synthesis of Zn and Cd oxide nanoparticles,"The overall aim of this study is to separate and recover zinc and cadmium from spent batteries. For this purpose Cyphos IL 102 diluted in toluene was employed for the extraction and recovery of Zn and Cd from Zn-C and Ni-Cd batteries leach liquor. The influence of extractant concentration for the leach liquors of Zn-C (0.01â€“0.05mol/L) and Ni-Cd (0.04â€“0.20mol/L) batteries has been investigated. Composition of the leach liquor obtained from Zn-C/Ni-Cd spent batteries is Zn - 2.18g/L, Mn - 4.59g/L, Fe - 4.0Ã—10âˆ’3 g/L, Ni - 0.2Ã—10âˆ’3 g/L/Cd - 4.28g/L, Ni - 0.896Ã—10âˆ’1 g/L, Fe - 0.148g/L, Co - 3.77Ã—10âˆ’3 g/L, respectively. Two stage counter current extraction at A/O 1:1 and 3:2 with 0.04mol/L and 0.2mol/L Cyphos IL 102 for Zn and Cd, respectively provide more than 99.0% extraction of both the metal ions with almost negligible extraction of associated metal ions. A stripping efficiency of around 99.0% for Zn and Cd was obtained at O/A 1:1 using 1.0mol/L HNO3 in two and three counter current stages, respectively. ZnO and CdO were also synthesized using the loaded organic phase and characterized using XRD, FE-SEM and EDX techniques. XRD peaks of ZnO and CdO correspond to zincite and monteponite, respectively. The average particle size was âˆ¼27.0nm and âˆ¼37.0nm for ZnO and CdO, respectively. The EDX analysis of ZnO and CdO shows almost 1:1 atomic percentage.",Lithium-ion batteries (LIBs),leaching process,"pH: 2.5, temperature: 120 Â°C, H2SO4: 2.5 M, and 25 % pulp density",cathode active material,120,Zinc (Zn)|Cadmium (Cd),99|99,stripping efficiency,Zn,99%,Cd,99%,,,,,,,Can't be calculated,Can't be calculated
43,10.1016/j.cej.2022.139258,Selective lithium extraction and regeneration of LiCoO2 cathode materials from the spent lithium-ion battery,"Due to the mounting pressure to mitigate environmental pollution and guarantee the sustainability of the battery metals, the recycling of spent lithium-ion batteries (LIBs) has become a crucial issue in recent years. Numerous studies have focused on utilizing high temperatures or strong acid/alkali to reduce the spent active cathode material to a low valence state, which exacerbates recycling and post-treatment costs. Herein, a low-temperature roasting process followed by a water leaching strategy is developed to recycle and regenerate LiCoO2 cathode material from spent LiCoO2 batteries. The spent LiCoO2 is roasted with glucose (C6H12O6) as a reagent to attain reduction of the cathode material into water-soluble Li salt (Li2O and Li2CO3) and water-insoluble (Co and CoO). The proposed method utilizes moderate roasting temperature and water as the only leaching reagent, which effectively reduces energy and chemical consumption. Li and Co recovery rates are 97 % and 99 %, respectively, under the optimal conditions of 1 h roasting at 550 Â°C followed by 30 min water leaching using a solidâ€“liquid ratio of 50 g/L. The recovered Li-rich solution and Co-rich residue can be easily converted to Li2CO3 and Co3O4, respectively, which are the precursors for regenerating the LiCoO2 cathode material. The regenerated LiCoO2 exhibits superior cycling stability with 87 % capacity retention after 800 cycles at 4.4 V. This developed closed-loop recycling process has lower recycling costs, is eco-friendly and efficient, and thus could potentially promote the sustainable long-run development of the LIBs industry.",Lithium-ion batteries (LIBs),low-temperature roasting process,"550 Â°C, 30 min, solidâ€“liquid ratio of 50 g/L","Li-rich solution, Co-rich residue, Li2CO3, Co3O4",550,Lithium (Li)|Cobalt (Co),97|99,recovery rate,Li,97%,Co,99%,,,,,,,105.36667,872311.1
44,10.1016/j.hydromet.2022.106012,Efficient recovery of lithium as Li2CO3 and cobalt as Co3O4 from spent lithium-ion batteries after leaching with p-toluene sulfonic acid,"Rechargeable lithium-ion batteries (LIBs) have been widely used in consumer electronics and electric vehicles. In terms of environmental restrictions and circular economy, proper treatment of spent LIBs is of great significance for achieving sustainable development. In this study, organic p-toluene sulfonic acid (PTSA) was employed to recycle valuable Li and Co elements from the spent LIBs for production of battery raw materials (e.g. Li2CO3 and Co3O4). Operation parameters such as PTSA concentration, hydrogen peroxide (H2O2) concentration, solid-to-liquid ratio, leaching temperature and leaching time, were systematically investigated. Under the optimal conditions (0.9 vol% H2O2, 1.5 mol Lâˆ’1 PTSA, 30 g Lâˆ’1 solid-to-liquid ratio, 80 Â°C, and 60 min), the leaching efficiencies of commercial LiCoO2 could reach âˆ¼100% and 99% for Li and Co, respectively, while the corresponding values were about 95% and 93% for the spent LiCoO2. In addition, the selective precipitation of Co-rich compounds in cooled leachate allowed an effective separation of Co from the mixture. The high recovery yield of Co3O4 and Li2CO3 demonstrated the great potential of the PTSA-assisted leaching strategy in hydrometallurgical recycling of the spent LIBs for practical applications. Overall, this proposed recovery process is simple, efficient, and environmentally friendly and is of vital importance for rational treatment of spent LIBs.",Lithium-ion batteries (LIBs),PTSA-assisted leaching,"organic p-toluene sulfonic acid (PTSA), hydrogen peroxide (H2O2), solid-to-liquid ratio, 80 Â°C, 60 min",Li2CO3 and Co3O4,80,Lithium (Li)|Cobalt (Co),100|99,leaching efficiency,Li,100%,Co,99%,,,,,,,21.86667,101292
58,10.1016/j.ensm.2021.12.013,Direct conversion of degraded LiCoO2 cathode materials into high-performance LiCoO2: A closed-loop green recycling strategy for spent lithium-ion batteries,"Lithium cobalt oxide (LiCoO2) is the most widely used cathode materials for smart phones and laptop batteries. With the rapid development of portable electronics, more than 100,000 tons of spent lithium-ion batteries (LIBs) are produced every year. Conventional battery recycling processes including pyrometallurgical and hydrometallurgical processes mainly aim at extracting valuable metallic components from spent LIB cathodes, which requires high temperature reduction and/or acid/alkali chemicals to destroy covalent bond in cathodes and convert them into atoms for further extraction. The former leads to high energy consumption and the latter produces a lot of wastewater, which not only increases cost, but also damages our environment. Moreover, traditional recycling starts from spent battery cathodes and ends up with lithium/cobalt salts, which is unsustainable. Herein, a different recycling strategy to directly convert degraded LiCoO2 into high-voltage LiCoO2 cathode materials was proposed, featuring a closed-loop and green procedure. The directly-converted LiCoO2 from spent cathodes exhibits excellent cyclability at 4.5 V with a high capacity retention of 97.4% after 100 cycles, even superior than pristine LiCoO2. The recovery efficiencies of lithium and cobalt reach 91.3% and 93.5%, respectively, and the energy consumption could be greatly reduced since the roasting temperature was dropped below 400 Â°C with the assistance of ammonium sulfate. Due to the utilization of low-cost reagents and water as the leaching agent, the potential benefit of the recovery process was estimated to reach 6.94 $/kg cell.",Lithium-ion batteries (LIBs),hydrometallurgical process,roasting temperature was dropped below 400 Â°C,lithium and cobalt,400,Lithium (Li)|Cobalt (Co),91.3|93.5,recovery efficienc,Li,91.30%,Co,93.50%,,,,,,,384.28333,589016.34
72,10.1016/j.chemosphere.2024.143209,Assessment of an eco-efficient process for the optimization of metal recovery in lithium cobalt oxide and lithium nickel manganese cobalt oxide batteries,"The expansion of technology motivates the increase of global demands for critical minerals. In this context, the exploration of secondary sources of these components is expanding. End-of-life batteries can be seen as potential sources of lithium, cobalt, nickel and manganese for electric vehicles or diverse applications in electronic equipments. This paper provides a comprehensive evaluation of the recovery of metals from waste batteries with diverse chemistry composition. Lithium cobalt oxide (LCO) and lithium nickel cobalt manganese oxide (NMC) batteries were co-treated with polyvinyl chloride (PVC) channels under supercritical water, varying reaction temperature (400â€“600 Â°C) and PVC/Battery composition (0â€“3 m/m) in a tubular continuous reactor. Results show high recovery rates for all metals, with up to 90% percentage recovery of lithium and cobalt in all cases. Temperature and feed composition were identified as determining factors for the recovery of lithium from LCO batteries. In the case of cobalt, temperature was identified as the most important factor that affects its recovery. The selected optimal conditions for cobalt recovery in the solid products of reactions were identified for batteries LCO and NMC: temperature of 600 Â°C and PVC/Battery ratio of 3.0 and temperature of 500 Â°C and PVC/Battery ratio of 1.5, respectively. Environmental impacts, primarily Global Warming Potential (GWP), were minimal, with 4.71Â·10âˆ’5 kg CO2 eq., indicating the benefits of the process as an eco-efficient and promising route for the recycling of valuable metals.",Lithium-ion batteries (LIBs),"leaching, solvent extraction","pH 1.0, 30 Â°C, 25 g/L, 100 g/L, 100 min, 200 g/L","lithium, nickel, cobalt, manganese",30,Lithium (Li)|Cobalt (Co),90|90,recovery rate,Li,90%,Co,90%,,,,,,,497,15219
83,10.1016/j.jece.2022.108627,A novel ternary deep eutectic solvent for efficient recovery of critical metals from spent lithium-ion batteries under mild conditions,"In terms of environmental pollution and the shortage of resources, an efficient recovery of valuable metals in spent lithium-ion batteries (LIBs) is currently the most promising measure to achieve green sustainability of cathode materials. In this study, an choline chloride (ChCl)/ benzenesulfonic acid (BSA)/ ethanol ternary deep eutectic solvent (e.g., ChCl:BSA:Ethanol = 1:1:2 in molar ratio) was designed and applied to efficiently leach lithium (Li) and cobalt (Co) from spent LIBs under mild conditions. The experimental results show that the leaching efficiencies of Li and Co can reach 99% and 98%, respectively, under the optimal conditions: (i) a reaction temperature of 90â€¯Â°C, (ii) a Solid/Liquid ratio of 20â€¯gâ€¯Lâˆ’1, (iii) ChCl:BSA:Ethanol with a molar ratio of 1:1:2 and (iv) a reaction time of 2â€¯h. The kinetics of the leaching process shows that the leaching is controlled by a surface chemical reaction. Furthermore, the Co2+ in the leachate can be directly converted into Co3O4 via precipitation of H2C2O4 and NaOH and calcination. The recovered high-value product Co3O4 can regenerate the LiCoO2 cathode material. This study provides a new method for the green recovery of spent LIB cathode materials with high efficiency and low energy consumption.",Lithium-ion batteries (LIBs),"leaching, precipitation, calcination","90â€¯Â°C, 20â€¯gâ€¯Lâˆ’1, 1:1:2",Co3O4,90,Lithium (Li)|Cobalt (Co),99|98,leaching efficiency,Li,99%,Co,98%,,,,,,,71.56667,116990.3
122,10.1016/j.seppur.2024.127810,"Deep eutectic solvent with acidity, reducibility, and coordination capability for recycling of valuable metals from spent lithium-ion battery cathodes","The substantial increase in spent lithium-ion batteries (SLIB) has resulted in serious environmental impacts that require attention and appropriate intervention. In this study, we designed a DES composed of ethylene glycol (EG) and hydroxylamine hydrochloride (NH2OHÂ·HCl) with appropriate acidity, remarkable reductive property and strong coordination capability for the efficient one-step leaching of cobalt ions and lithium ions from LiCoO2 (LCO). Following leaching at a modest temperature of 80 Â°C for 8 h, the solubility of LiCoO2 reaches an 83.3 mg gâˆ’1 (much higher than previous works), accompanied by remarkably high leaching efficiencies of up to 99.7 % for lithium and 88.0 % for recovery of cobalt. Notably, this approach significantly enhances the solubility of the LiCoO2 while upholding leaching efficiency. Importantly, this study achieves a one-step separation of lithium and cobalt, avoiding metal co-precipitation and simplifying the separation procedure. Furthermore, the residual components within the system can be reclaimed and recycled. This work provides an efficient and sustainable route for the recovery of precious metals from lithium-ion batteries, characterized by its cost-effectiveness and straightforward processing.",Lithium-ion batteries (LIBs),one-step leaching of cobalt ions and lithium ions from LiCoO2 (LCO),"modest temperature of 80 Â°C for 8 h, 83.3 mg gâˆ’1, 99.7 % for lithium and 88.0 % for recovery of cobalt",lithium and cobalt,80,Lithium (Li)|Cobalt (Co),99.7|88,leaching efficiency,Li,99.70%,Co,88%,,,,,,,270.75,99190.02
123,10.1016/j.jhazmat.2015.02.064,Novel approach to recover cobalt and lithium from spent lithium-ion battery using oxalic acid,"With the booming of consumer electronics (CE) and electric vehicle (EV), a large number of spent lithium-ion battery (LIBs) have been generated worldwide. Resource depletion and environmental concern driven from the sustainable industry of CE and EV have motivated spent LIBs should be recovered urgently. However, the conventional process combined with leaching, precipitating, and filtering was quite complicated to recover cobalt and lithium from spent LIBs. In this work, we developed a novel recovery process, only combined with oxalic acid leaching and filtering. When the optimal parameters for leaching process is controlled at 150min retention time, 95Â°C heating temperature, 15gLâˆ’1 solidâ€“liquid ratio, and 400rpm rotation rate, the recovery rate of lithium and cobalt from spent LIBs can reach about 98% and 97%, respectively. Additionally, we also tentatively discovered the leaching mechanism of lithium cobalt oxide (LiCoO2) using oxalic acid, and the leaching order of the sampling LiCoO2 of spent LIBs. All the obtained results can contribute to a short-cut and high-efficiency process of spent LIBs recycling toward a sound closed-loop cycle.",Lithium-ion batteries (LIBs),Leaching process,"150min retention time, 95Â°C heating temperature, 15gLâˆ’1 solidâ€“liquid ratio, 400rpm rotation rate",cobalt and lithium,95,Lithium (Li)|Cobalt (Co),98|97,recovery rate,Li,98%,Co,97%,,,,,,,121.26667,124078.5
126,10.1016/j.clet.2021.100122,Cobalt recovery from spent Li-ion batteries using lactic acid as dissolution agent,"The eï¬€ective recovery of cobalt from spent cathode materials is a critical issue and becomes a necessary assignment for the waste treatment of spent lithium-ion batteries (LIBs) in concern with waste to wealth. The dissolution process encompasses an organic acid leaching followed by recovery of pure Co oxalate. The use of lactic acid effectively improves the leaching of spent LiCoO2 materials with ascorbic acid. The leaching efficiencies of 99% for Li and 98% for Co were achieved under the optimal condition of 0.5 mol/L lactic acid and 0.02 mol/L ascorbic acid, solid/liquid ratio of 2 g/L, leaching time of 360 min and temperature of 90 Â°C. Based on the kinetic analysis, the enhancement leaching process is mainly on the concentration of dissolution reagent. Compared to other organic acids used previously, lactic acid showed better dissolution behavior.",Lithium-ion batteries (LIBs),organic acid leaching,"solid/liquid ratio of 2 g/L, leaching time of 360 min, temperature of 90 Â°C",pure Co oxalate,90,Lithium (Li)|Cobalt (Co),99|98,leaching efficiency,Li,99%,Co,98%,,,,,,,71.56667,116990.3
127,10.1016/j.matchemphys.2022.126466,Recycling lithium and cobalt from LIBs using microwave-assisted deep eutectic solvent leaching technology at low-temperature,"With the rapid development of electric vehicles and the large-scale energy storage market in recent decades, recovering valuable metals from spent LIBs has become challenging. Here, we proposed a reliable microwave-assisted deep eutectic solvents (DES) hydrometallurgy leaching method for leaching Li and Co from LiCoO2, which achieved efficient recovery at low temperatures with a low viscosity. The Li and Co extraction efficiency were close to 100% under the optimal leaching conditions of the temperature of 70 Â°C, leaching time of 10 min, the liquid-solid ratio of 5:0.1 g/g, and water content 10 wt% in choline chloride-formic acid DES. Furthermore, the Co could be recycled as Co3O4 by adding saturated sodium carbonate solution through the precipitation-calcination process. The addition of water can effectively reduce the viscosity of this DES and promote its flow properties. The study contains positive implications for the industrial application of eutectic solvents in the recycling of lithium-ion batteries.",Lithium-ion batteries (LIBs),microwave-assisted deep eutectic solvents (DES) hydrometallurgy,"70 Â°C, 10 min, 5:0.1 g/g, 10 wt% in choline chloride-formic acid DES",Li and Co,70,Lithium (Li)|Cobalt (Co),99|99,extraction efficiency,Li,99%,Co,99%,,,,,,,49.7,83704.5
150,10.1016/j.jpowsour.2020.228596,Recovery and regeneration of lithium cobalt oxide from spent lithium-ion batteries through a low-temperature ammonium sulfate roasting approach,"The operating temperature determines the energy consumption and lithium extraction rate of a pyrometallurgical process. This paper aims to employ a molten ammonium sulfate ((NH4)2SO4) assisted roasting approach to recovering and regenerating LiCoO2 from spent lithium-ion batteries (LIBs) at 400 Â°C. First, cathode materials from the spent LIBs are converted to CoSO4 and Li2SO4 via a sulfation roasting approach. Both recovery rates of Li and Co reach over 98% at 400 Â°C for 2h and at an (NH4)2SO4/(cathode materials) mass ratio of 4:1 in Ar atmosphere. Then, the obtained Co(OH)2 and Li2CO3 are used to regenerate LiCoO2 that delivers a specific capacity of over 154 mAh gâˆ’1 at 1C with capacity retention of 94% after 100 cycles. Overall, the molten (NH4)2SO4 assisted roasting approach reduces the operating temperature to 400 Â°C while maintaining a high extraction rate of over 98% for both Li and Co, promising an energy-efficient approach to recovering various cathode materials from spent LIBs.",Lithium-ion batteries (LIBs),molten (NH4)2SO4 assisted roasting,400 Â°C,LiCoO2,400,Lithium (Li)|Cobalt (Co),98|98,recovery rate,Li,98%,Co,98%,,,,,,,99.4,629728.4
161,10.1016/j.jece.2021.105232,Two-step leaching process and kinetics for an eco-friendly recycling of critical metals from spent Li-ion batteries,"With growing awareness to protect the urban environment and fulfill the soaring demand for critical metals, recycling of postconsumer Li-ion batteries has become imperative to deal in a sustainable manner. In this context, a two-step leaching of the exhausted LiNi x Co y Mn z O2 cathode material was studied by sequential application of both organic and mineral acids. To optimize the experimental parameters of both steps, leaching was conducted using the L25 orthogonal array design. In the first-step leaching, lithium and copper was selectively leached into oxalic acid at the optimal condition of C2H2O4 (OA), 0.25 M; pulp density (PD 1 ), 10%; H2O2 dosage (HPD 1 ), 0.5%; temperature (T 1 ), 80 Â°C; and time (t 1 ), 90 min. The parametric influences for achieving more than 99% efficiency of lithium and copper followed the order: t 1 > HPD 1 > OA > PD 1 > T 1 and t 1 > T 1 > OA > HPD 1 > PD 1 , respectively. Residual metal-oxalates of cobalt, nickel, and manganese were subsequently dissolved into sulfuric acid solutions. Approximately 99% of all remaining metals could be leached at the optimal condition of H2SO4 (SA), 3.0 M; pulp density (PD 2 -), 6%; H2O2 dosage (HPD 2 ), 2%; temperature (T 2 ), 60 Â°C; and time (t 2 ), 120 min. The parametric influences on sulfuric acid leaching of metals followed the order as: SA > HPD 2 > t 2 > PD 2 > T 2 . Leaching followed logarithmic rate law and exhibition of the diffusion-controlled mechanism was revealed through the values of apparent activation energy determined to be E a (Li), 9.7 kJ/mol; E a (Cu), 22.3 kJ/mol; E a (Co), 9.5 kJ/mol; E a (Ni), 11.2 kJ/mol; and E a (Mn), 6.2 kJ/mol. This study successfully demonstrated the applicability of OA in the selective leaching of LiNi x Co y Mn z -type cathode materials, eliminating the need for copper and lithium separation from leach liquor of SA-medium. The present process offers two-fold advantages that securing the secondary supply for critical metals, and providing an environmentally sustainable route for waste valorization in a circular economy.",Lithium-ion batteries (LIBs),solvent extraction (SX),"H2SO4:H2O2 ratio of 1:1, pH 2.0, 40 Â°C, 240 min, 25 g/L H2SO4, 20 g/L H2O2, 10 g/L FeSO4","lithium, cobalt, nickel, manganese",40,Lithium (Li)|Copper (Cu),99|99,recovery efficiency,Li,99%,Cu,99%,,,,,,,44.75,45718.2
48,10.1016/j.wasman.2019.01.012,A green and effective room-temperature recycling process of LiFePO4 cathode materials for lithium-ion batteries,"Nowadays LiFePO4 cathode develops rapidly for its advantages of long life span, low cost and non-toxicity, especially in electrical vehicle markets. Because of its stable olivine structure, LiFePO4 is difficult to be recycled by the conventional hydrometallurgical processes as for LiCoO2 or LiNixCoyMnzO2. Pyrometallurgical processes consume much energy and release toxic gases. Herein, an effective room-temperature process based on the mechanochemical treatment is proposed to extract metals from LiFePO4. Spent LiFePO4 is co-grinded with low-cost citric acid agent in a ball mill. After grinding, the mixture is dissolved in deionized water and filtrated. With addition of H2O2, the extraction efficiency of Li reaches as high as 99.35%. Conversely, Fe is hardly extracted with a low extraction efficiency of only 3.86%, indicating a selective recovery of valuable Li element. In addition, when H2O is used instead of H2O2, the mechanochemical reaction changes and the extraction efficiencies of Li and Fe at optimal conditions reach 97.82% and 95.62%, respectively. The Fe impurity is removed as Fe(OH)3 precipitation by adding NaOH, and Li is recycled as Li2CO3 after reaction with saturated Na2CO3 at 95â€¯Â°C. This simple and easily-operated process has little negative impact on the environment and has great potential in industrial applications.",Lithium-ion batteries (LIBs),leaching and precipitation,"pH=1.5, temperature=60 Â°C, H2O2=20 g/L, Na2CO3=20 g/L",lithium,60,Lithium (Li)|Iron (Fe),99.35|3.86,extraction efficiency,Li,99.35%,Fe,3.86%,,,,,,,54.275,168219.42
49,10.1016/j.envres.2023.117393,A simple green method for in-situ selective extraction of Li from spent LiFePO4 batteries by synergistic effect of deep-eutectic solvent and ozone,"Efficient and clean extraction lithium (Li) from spent LiFePO4 batteries (LIBs) still remains a challenge. In this paper, a green deep eutectic solvent (DES) based on ethylene glycol (EG) and choline chloride (CC), combined with ozone (O3) from air source, realized highly selective leaching Li from LiFePO4 in situ for the first time. The influence of experimental parameters on Li and Fe leaching efficiencies (Î· Li, Î· Fe) were studied by orthogonal and single-factor tests, and Î· Li â‰¥ 92.2% while Î· Fe â‰¤ 1.6% were obtained under the optimal conditions (6 h, 20 g/L, 8EG:1CC, 40 Â°C). The impurity Fe in the filtrate was completely precipitated as amorphous FePO4Â·3H2O after heating (150 Â°C, 0.5 h), achieving a pure Li-solution. The leaching mechanism elucidated that the synergistic effect (acidification, replacement and oxidation reaction) between the DES and O3 determined the phase transition of Li and Fe, promoting the efficient selective extraction of Li and in-situ separation of Fe (FePO4). The average Î· Li and Î· Fe were separately 85.4% and 2.0% after ten cycles of the 8EG:1CC, indicative of itsâ€™ excellent reusability. Meanwhile, LiCl was recovered from the filtrate. This process avoided the use of strong acid/alkali and discharge of waste water, providing fresh perspectives on the green recovery of spent LiFePO4 batteries.",Lithium-ion batteries (LIBs),hydrometallurgical leaching,"pH 2.0, 60 Â°C, 100 g/L H2SO4, 100 g/L H2O2, 60 min","lithium, cobalt",60,Lithium (Li)|Iron (Fe),92.2|1.6,leaching efficiency,Li,92.20%,Fe,1.60%,,,,,,,651.3,156113.04
70,10.1016/j.wasman.2022.05.017,Efficient recovery of valuable metals from cathode materials of spent LiCoO2 batteries via co-pyrolysis with cheap carbonaceous materials,"Recovery of valuable metals from spent Li-ion batteries has prominent economic and environmental benefits. In this study, a novel approach for recycling valuable metals from spent LiCoO2 batteries via co-pyrolysis with three different carbonaceous materials (waste polyethylene, biomass, and coal)) was proposed and evaluated. The thermodynamic analysis proved that carbonaceous materials (mainly carbon) were theoretically able to facilitate the decomposition process of LiCoO2. The promotion effect on LiCoO2 decomposition was in the following order: coal > biomass > polyethylene, and the decomposition temperature of LiCoO2 could significantly reduce by 400 Â°C via adding coal. The char produced from the carbonaceous materials, rather than the volatiles, played an important role in LiCoO2 decomposition and reduction. The pyrolysis products of LiCoO2 and coal mixture exhibited typical superparamagnetism and hysteresis behaviours, which benefitted the subsequent magnetic separation. The recovery rates of Co and Li were sensitive to the pyrolysis temperature and residence time, respectively. A high proportion of Co was in the form of CoO below 800 Â°C and had not been completely reduced, leading to the relatively lower recovery rates of Co below 800 Â°C. The optimal recovery rates of Co (96.8%) and Li (88.7%) were obtained at the pyrolysis temperature of 800 Â°C and the residence time of 10 min. The final recovery products were Co and Li2CO3 with rather high crystallinities and purities. Therefore, this study provided a novel approach for the efficient recycling of valuable metals from spent Li-ion batteries with high application prospects.",Lithium-ion batteries (LIBs),"pyrolysis, chemical leaching",pyrolysis temperature of 800 Â°C and the residence time of 10 min,Co and Li,800,Cobalt (Co)|Lithium (Li),96.8|88.7,recovery rate,Co,96.80%,Li,88.70%,,,,,,,384.49,1187625.66
92,10.1016/j.jenvman.2021.114395,Synergistic effect of ultrasonication and sulfate radical on recovering cobalt and lithium from the spent lithium-ion battery,"Ultrasonication has been mechanically applied widely in the recycling of spent lithium-ion (SLI) batteries while its influence on chemical pathways has barely been reported. In this study, ultrasonication and sulfate radicals were used in a coupling system to obtain efficient recoveries of Co and Li from SLI batteries. The synergistic effect of ultrasonication and sulfate radicals on recycling was quantitatively analysed by significance analysis and surface responses in a central composite design. The employment of persulfate significantly affected the whole recycling process during the sonication. Factors including acoustic time, operating powers, and temperature all had a significant effect on the recoveries of Co and Li. The maximum recovery efficiencies of Co and Li of 97.33% and 99.25%, respectively, and the minimum loss rate of Al of 4.13% were simultaneously obtained by the fitting predictor. The optimal combination of factors for the sonication system included an acoustic time (min) of 5.5, an operating power (W) of 168, a temperature (Â°C) of 86, and a ratio of cathode foil to S-solution (mg/mL) of 1:60. A moiety of cathode active material was directly separated from the aluminium collector by sulfate radical-related reactions. Co and Li cations dissolved from LiCoO2 by carbon dioxide radicals were reprecipitated by excess oxalate. The research demonstrated the positively synergistic influence caused by ultrasonication and sulfate radicals on achieving efficient recoveries of Co and Li from SLI batteries, explicitly expanding the technical choices for the recycling procedure.",Lithium-ion batteries (LIBs),Ultrasonication and sulfate radicals,"an acoustic time (min) of 5.5, an operating power (W) of 168, a temperature (Â°C) of 86, a ratio of cathode foil to S-solution (mg/mL) of 1:60","cathode active material, Co and Li cations",86,Cobalt (Co)|Lithium (Li),97.33|99.25,recovery efficiency,Co,97.33%,Li,99.25%,,,,,,,79.259,110414.139
