Abstract Number,DOI,Title,Abstract,Battery_Type,Recycling_Process_Used,Process_Conditions/Battery_Properties,Recovered_Materials (from abstract),Final Max Temperature
706,10.1016/j.cej.2022.138652,In-situ investigation and application of cyano-substituted organic electrode for rechargeable aqueous Na-ion batteries,"Rechargeable aqueous alkali-ion batteries are of great interest in cost-effective, risk-free and green energy-storage technologies. Although redox-active organic compounds are regarded as a kind of promising electrode materials, the limited capacity and low charge-transfer capability still hinder their applications in aqueous alkali-ion batteries. Herein, we have designed a cyano-substituted diquinoxalinophenazine (3CN-DPZ) organic electrode. For the first time, in-operando monitoring techniques, i.e., in-situ Raman and in-situ FTIR investigations, combined with the theoretical calculations are thoroughly carried out to explore the role of electron-withdrawing cyano substituents in 3CN-DPZ organic electrode for aqueous Na+ storage. It is demonstrated that the introduced cyano groups provide redox-active sites for the 3CN-DPZ organic electrode upon Na+ uptake/removal and have the strong electron absorption ability coordinated with Na+ in aqueous electrolyte. Therefore, the 3CN-DPZ organic electrode delivers a large specific capacity of 305.1 mAh/g at 1 A/g, a high rate capability of 211.3 mAh/g at 64 A/g, and an exceptional cycling retention of âˆ¼ 97.9 % over 5000 cycles. Furthermore, a high-performance aqueous Na-ion battery (ANIB) has been fabricated with considerable energy/power characteristics and long cycling lifespan, revealing its potential scalable applications in satisfying the various requirements of high-safety and low-cost energy storage systems.",Lithium-ion batteries (LIBs),"leaching with sulfuric acid, oxidation roasting, acid leaching","H2SO4 concentration of 2.0 mol/L, leaching temperature of 100 Â°C, leaching time of 2 h, oxidation roasting temperature of 800 Â°C, oxidation roasting time of 2 h, pH value of 2.0, H2SO4 concentration of 2.0 mol/L, leaching temperature of 100 Â°C, leaching time of 2 h, pH value of 2.0, H2SO4 concentration of 2.0 mol/L, leaching temperature of 100 Â°C, leaching time of 2 h",NA,800
707,10.1016/j.jenvman.2021.112757,New perception of Zn(II) and Mn(II) removal mechanism on sustainable sunflower biochar from alkaline batteries contaminated water,"The combination of several methods (X-ray diffraction, X-ray photoelectron spectroscopy, energy dispersive X-ray analysis, infrared spectroscopy) was applied to study the changes that have occurred during the adsorption of Zn(II) and Mn(II) ions on a carbonized sunflower sample for understanding a mechanism of heavy metals adsorption. Sunflower biochar was obtained from the stem and inflorescences sunflower wastes through pyrolysis at 600 Â°C for 30 min. According to the infrared spectroscopy and Boehm titration data, this carbonized material has acidic and basic functional groups on its surface, but they do not participate in the metal ions adsorption. However, the synthesized carbon proved to be a sustainable high-effective adsorbent for zinc(II) and manganese(II) ions removal with adsorption capacity 138.3 mg gâˆ’1 of Zn2+ and 45.4 mg gâˆ’1 for Mn2+. Surface analysis of the carbonized material by energy dispersive X-ray analysis, X-ray diffraction, and X-ray photoelectron spectroscopy indicated the presence of soluble and insoluble inorganic salts, such as KCl, NaCl, NaHCO3, KHCO3, CaCO3, MgCO3. It was established, that during the adsorption process, soluble salts are washed away, and new insoluble ones are formed assisting by Zn(II) and Mn(II) ions. It has been revealed that the adsorptive removal of Zn2+ and Mn2+ is caused by the precipitation mechanism. The efficiency of removing Zn(II) and Mn(II) ions from water contaminated with battery waste by the same mechanism is shown.",Lithium-ion batteries (LIBs),pyrolysis,pyrolysis temperature of 400 Â°C for 2 h,NA,400
708,10.1016/j.jclepro.2022.133112,Decomposition of PVDF to delaminate cathode materials from end-of-life lithium-ion battery cathodes,"The growing demand of electric vehicles and rapid consumption of rechargeable lithium-ion batteries (LIBs) require recycling of spent cathode active materials (CAMs) to reduce hazardous wastes and supply raw materials to LIB production. To separate CAMs from the cathode, direct calcination of polyvinylidene fluoride (PVDF) binder is widely applied, which leads to high energy consumption and release of toxic hydrogen fluoride. It is desirable to have an environmentally friendly and effective alternative to traditional direct calcination. In this study, five lithium salts, LiOAc (lithium acetate), LiNO3, LiCl, Li2CO3, and Li2SO4, were deployed and compared for their performance in recycling CAMs. A peel-off efficiency of up to 98.5% was achieved at a LiOAc to LiNO3 molar ratio of 3:2, salt to cathode mass ratio of 10:1, and temperature of 300 Â°C at a holding time of 30 min. This system avoids corrosive chemicals and minimizes particle agglomeration of recycled products. Compared with sodium salt systems (NaOAc-NaNO3) or direct calcination, the LiOAc-LiNO3 system prevented high reaction temperature or further lithium loss, and minimized crystal structure and morphological changes. A decomposition mechanism of PVDF through adsorption of HF and fluorine substitution was proposed.",Lithium-ion batteries (LIBs),"leaching, acid leaching, alkaline leaching, oxalic acid leaching, H2SO4 leaching, H2O2 leaching, H2O leaching, HCl leaching, NaOH leaching, Na2CO3 leaching, NaHCO3 leaching, H2O2 leaching, HCl leaching, H2SO4 leaching, H2O leaching, H2O2 leaching, HCl leaching, NaOH leaching, Na2CO3 leaching, NaHCO3 leaching","leaching conditions, alkaline leaching conditions, oxalic acid leaching conditions, H2SO4 leaching conditions, H2O2 leaching conditions, H2O leaching conditions, HCl leaching conditions, NaOH leaching conditions, Na2CO3 leaching conditions, NaHCO3 leaching conditions",NA,NA
709,10.1016/j.jhazmat.2022.128974,Transformation and migration mechanism of fluorine-containing pollutants in the pyrolysis process of spent lithium-ion battery,"Pyrolysis is an effective method to remove organics (e.g. electrolytes and binders) from spent lithium-ion battery (LIB). In this study, the co-pyrolysis characteristics of fluorine-containing substances and active materials from LIB were investigated using thermogravimetric-differential scanning calorimetry (TG-DSC), infrared spectroscopy (IR), and mass spectrometry (MS) analysis. Associated with the pyrolysis, active materials adsorb the residues of electrolyte on the surface and into the pores (20â€“200 Â°C), while polyvinylidene fluoride (PVDF) forms a liquid film to cover the local surface of active materials (400â€“500 Â°C). These interactions prevent deep removal of organics, leaving fluorine-containing contaminants in active materials. The barrier effect of PVDF liquid mesophase on the removal of organics with secondary liquidous phase formation during pyrolysis was confirmed by in situ optical observation. The migration behavior of fluorine element during the pyrolysis of black mass (BM) from spent LIB was also investigated. With pyrolysis temperature increasing from 100 Â°C to 600 Â°C, the dissociable fluorine content in pyrolyzed BM increased from 1.4 wt% to 3.7 wt%. The fluorine-containing contaminants in BM cannot be removed completely by simply increasing pyrolysis temperature. This study provides a better understanding on the transformation of fluorine-containing pollutants during the pyrolysis of BM.",Lithium-ion batteries (LIBs),pyrolysis,"thermogravimetric-differential scanning calorimetry (TG-DSC), infrared spectroscopy (IR), mass spectrometry (MS)",NA,NA
710,10.1016/S0378-7753(03)00025-9,Recovery of zinc and manganese from spent alkaline batteries by liquidâ€“liquid extraction with Cyanex 272,"A hydrometallurgical route based on the liquidâ€“liquid extraction technique using Cyanex 272 as extractant is investigated for the selective separation of metal values, in particular, zinc and manganese from spent alkaline batteries. The recycling route consists of following steps: (1) cryogenic dismantling of the spent batteries, (2) pre-treatment of the internal material consisting of drying, grinding and screening steps in order to produce a dry homogeneous powder, (3) leaching of the powder with sulphuric acid and (4) metal separation by liquidâ€“liquid extraction. Bench scale experiments have shown that zinc and manganese are easily separated (Î”pH1/2â‰ˆ2.0) using 20% (v/v) Cyanex 272 dissolved in Escaid 110 at 50Â°C. Therefore, the proposed route can treat residues from both zincâ€“carbon and alkaline batteries because metal composition of these batteries is quite similar. The metal content of other batteries such as Niâ€“Cd and nickel-metal hydride (NiMH) has been also determined in order to include them in future investigations.",Lithium-ion batteries (LIBs),microwave-assisted leaching,"microwave power: 200 W, leaching time: 10 min, solvent: 1.0 M H2SO4, pH: 1.0, RO: 97.65%",NA,NA
711,10.1016/S1872-5805(19)60007-7,Recycled silicon powder coated on carbon paper used as the anode of lithium ion batteries,"High-capacity electrode materials are critical for portable electronic equipment that requires a high-energy density from lithium ion batteries (LIBs). Many different materials and fabrication methods for such electrodes have been developed for this purpose. Carbon paper coated with recycled silicon powder (CP-RSP) was prepared by coating silicon and pitch powder on the carbon paper, followed by stabilization at 250 Â°C in air and carbonization at 1000 Â°C in N2. The CP-RSP acted as both the current-collector and the active material for the anodes of LIBs. Electrodes with 2.5, 5, and 10 wt.% silicon exhibited capacity increases of 94, 129 and 41%, respectively, compared with the silicon-free electrode. The electrode for the CP-RSP with 5 wt. % silicon exhibited an optimal balance between discharge capacity and stability in long-cycle tests under various charging rates.",Lithium-ion batteries (LIBs),carbonization at 1000 Â°C in N2,"250 Â°C in air, 1000 Â°C in N2",NA,1000
712,10.1016/j.jiec.2018.05.004,Use of grape seed as reductant for leaching of cobalt from spent lithium-ion batteries,"The grape seed was novelly used as reductant for leaching of spent LiCoO2 material, which is idea of â€œwaste+wasteâ†’resourcesâ€. About 92% Co and 99% Li could be leached under the optimized conditions of grape seed 0.6g/g, malic acid 1.5mol/L, 180min, 80Â°C, and slurry density 20g/L. The catechin, EC and EGCG contained in grape seed could be employed as efficient reductants during leaching. The leaching process is controlled by combination of surface chemical reaction and diffusion with apparent activation energy of 11.96kJ/mol, which is related to the form of Co(OH)3.",Lithium-ion batteries (LIBs),leaching of spent LiCoO2 material,"slurry density 20g/L, malic acid 1.5mol/L, 180min, 80Â°C, grape seed 0.6g/g",NA,80
713,10.1016/j.egypro.2013.07.038,TiO2 Dye Sensitized Solar Cells Cathode Using Recycle Battery,This paper proposed an alternative source of carbon material from recycled battery for the fabrication of cathode of a Dye Sensitized Solar Cell. Carbon from recycle battery is extracted and used to fabricate the cathode part of a Dye sensitized solar cell by using TiO2 as the anode. The both anode and cathode is fabricated on a 6 Ã— 2cm ITO coated glass and then tested under the solar irradiance of 693.69 w/m2 and average temperature 44.4Â°C. Result shows that by using carbon from a recycle battery a Voc of 0.333V and short circuit current of 166.04Î¼A is produce.,Lithium-ion batteries (LIBs),hydrometallurgical leaching,"pH 1.0, 30 Â°C, 250 mL, 5 g/L",NA,30
714,10.1016/j.ceramint.2020.09.276,"Synthesizing low-cost, high-corrosion-resistant refractory kiln furniture for the calcination of Li-ion battery cathode materials","In recent years, the rapid development of the ternary Li-ion battery cathode Li(NixCoyMnz)O2 (LNCM) materials industry has resulted in increased demand for refractory kiln furniture (saggars). To reduce the production cost of the saggars and improve their anti-corrosion performance, mullite-zirconia materials were synthesized from zircon-containing kyanite tailings. This study examines the potential of the materials as saggars in the preparation of the LNCM materials based on two aspectsâ€”the material's physical properties and its resistance to the corrosion of LNCM materials. The results show that mullite-zirconia composites can be successfully synthesized at 1500â€“1600 Â°C, and the physical properties of the materials meet the needs of production. Additionally, the mullite-zirconia material prepared at 1550 Â°C was more resistant to LCNM precursor corrosion than the ones prepared at 1500 and 1600 Â°C.",Lithium-ion batteries (LIBs),leaching process,"pH value of 1.0 and 2.0, oxalic acid concentration of 1.5 mol/L, leaching time of 60 min, and 120 min, and 180 min, and 240 min",NA,NA
715,10.1016/j.jclepro.2019.119535,Fabrication of polyethylene separator for lead-acid batteries from waste and recycled silica and investigation of its performance,"Reclaimed silica from spent lead-acid battery separator was exploited by pyrolysis process to avoid further extraction of raw materials and energy-consuming methods and was mixed with ultra-high molecular weight polyethylene as a matrix to fabricate a workable separator to be used in a simulated procedure in a lead-acid battery. On the other hand, fresh silica was catered and undergone similar production design to examine our product. As results showed, recycled silica after acid washing to deplete lead impurities and reaching 95.7% purity, had finer particles which contributed to some exciting functions of the separator. This microporous separator with appropriate silica dispersion, ideal porosity, and wettability, as the main features, 57.8% and 79.5Â° respectively, demonstrated itself as a promising alternative. It was observed that silica does not change the melting point of the separator while increasing the crystallinity because of remained oil. The same effect on thermal properties of the separator was observed for the fresh and recycled silica particles. Also, the comparable tensile strength was observed for the fresh and recycled silica separators, 9.45 and 8.21 MPa, respectively. Moreover, the similar ionic conductivity and MacMullin number, 0.6 mS/cm and âˆ¼8, were obtained for the separator composed of 30 wt % of the recycled silica. Based on different results, the reusing of silica trapped in waste separators was a rational and practical idea from many aspects, especially for producing the polyethylene battery separator.",Lithium-ion batteries (LIBs),leaching and electrochemical treatment,"pH value of 2.0, 1.5 mol/L H2SO4, leaching time of 240 min, 300 Â°C, 100 Â°C, and 100 min, 1.5 mol/L H2SO4, pH value of 2.0, and 300 Â°C",NA,300
716,10.1016/j.jece.2024.114091,Selective leaching of lithium from mixed spent lithium iron phosphate powder,"In recent years, lithium iron phosphate (LFP) batteries have been widely used in the electric vehicle industry. The recycling of spent LFP will be propitious to conserving resources and alleviating the environmental risks it poses. In this study, a selective extraction method for lithium from spent LFP was proposed using nitric acid. Lithium leached into the liquid phase, while P and Fe remained in the leaching residue. Under the conditions of 120Â°C, HNO3/Li molar ratio of 2, and time of 2â€¯h, the leaching efficiency of lithium reached 99.5â€¯%, with a selectivity reaching 82.1â€¯%. Initially, LFP was decomposed to liberate Li, Fe, and P in the liquid phase. Subsequently, ferrous ions were oxidized to trivalent, high-valent iron ions re-precipitated as FePO4Â·2â€¯H2O. Thermodynamic calculations indicate that the temperature and pH value of the extraction system have significant influence on both the oxidation and reprecipitation steps. An imbalance of Fe/P ratio (<1) in the raw material hinders the selectivity of lithium extraction, and supplementing this portion of Fe can enhance the selectivity to over 90â€¯%. Additionally, LiCO3 and anhydrous FePO4 were effectively regenerated from the leachate and residue. This study provides a novel approach for the recycling of spent LFP and probably contributes to the sustainability of the lithium ion battery industry.",Lithium iron phosphate (LiFePO4) batteries,Selective extraction method using nitric acid,"120Â°C, HNO3/Li molar ratio of 2, time of 2â€¯h",NA,120
717,10.1016/j.jhazmat.2023.131782,In-situ pyrolysis based on alkaline medium removes fluorine-containing contaminants from spent lithium-ion batteries,"Pyrolysis is an effective method for removing organic contaminants (e.g. electrolytes, solid electrolyte interface (SEI), and polyvinylidene fluoride (PVDF) binders) from spent lithium-ion batteries (LIBs). However, during pyrolysis, the metal oxides in black mass (BM) readily react with fluorine-containing contaminants, resulting in a high content of dissociable fluorine in pyrolyzed BM and fluorine-containing wastewater in subsequent hydrometallurgical processes. Herein, an in-situ pyrolysis process is proposed to control the transition pathway of fluorine species in BM using Ca(OH)2-based materials. Results show that the designed fluorine removal additives (FRA@Ca(OH)2) can effectively scavenge SEI components (LixPOFy) and PVDF binders from BM. During the in-situ pyrolysis, potential fluorine species (e.g. HF, PF5, and POF3) are adsorbed and converted to CaF2 on the surface of FRA@Ca(OH)2 additives, thereby inhibiting the fluorination reaction with electrode materials. Under the optimal experimental conditions (temperature = 400 Â°C, BM: FRA@Ca(OH)2 = 1: 4, holding time = 1.0 h), the dissociable fluorine content in BM was reduced from 3.84 wt% to 2.54 wt%. The inherent metal fluorides in BM feedstock hinder the further removal of fluorine with pyrolysis treatment. This study provides a potential strategy for source control of fluorine-containing contaminants in the recycling process of spent LIBs.",Lithium-ion batteries (LIBs),pyrolysis,"400 Â°C, 1: 4, 1.0 h",NA,400
718,10.1016/j.est.2023.107942,Synergistic effect of grinding time and submicron (nano) bubbles on the zeta potential state of spent lithium-ion batteries: A gene expression programming approach,"The present work aims at the investigation and advanced simulation of the synergistic effect of grinding conditions and sub-micron (nano) bubbles (NBs) on the zeta potential mechanism of spent lithium-ion batteries (LIBs). For this purpose, the variation of the zeta potential of electrode active materials under different conditions was measured based on an effective Historical Data (HD) experimental design. The impact of operating variables including grinding time (0â€“25 min), pH (4.5â€“11.5), collector type (collectorless, n-dodecane, kerosene, and diesel oil), and NBs (absence and presence) were assessed through one-way analysis of variance (ANOVA). The process was then simulated using a genetic algorithm (GA) as an optimization algorithm of the artificial neural network (ANN). The statistical results indicated that the process was significantly influenced by pH, collector, and NBs (pvalue < 0.05) through a nonlinear trend. Although the individual effect of grinding time was not significant, a complex nonlinear interaction between grinding time and pH was observed. The effect of collectors followed the order of diesel oil > n-dodecane > kerosene; however, the effect of collectors was inverted at a pH of 10. Finally, the intelligent simulation results revealed that the process could be modeled using a genetic algorithm with a determination coefficient and error of 94.44 % and 3.28 %, respectively.",Lithium-ion batteries (LIBs),"Battery leaching, Battery recycling","pH, grinding time, Collector type, and NBs",NA,NA
719,10.1016/j.diamond.2023.110498,Novel insight into the behavior of carbon in the positive active material of the lead-acid battery,"Low-cost wood sawdust was investigated as a primary source for preparing active carbon to enhance the lead-acid battery. This can give a scope to determine the suitable active functional groups required to develop that battery. The fraction, âˆ’1.0 mm in size, was a potential feedstock for the active carbon preparation using phosphoric acid activation. The resulting precursor/H3PO4 mixture was pre-activated by solidifying at 150 Â°C for 2 h to eliminate water, leaving it a black adhesive solid. The hardened mixture was heated at 450 Â°C for an hour at a rate of 10 Â°C minâˆ’1 to complete the carbonization process. The produced active carbon was washed repeatedly with deionized water, dried at 105 Â°C, and saved in plastic for analysis and use, it was called (oxid-AC). The resulting active carbon has been identified using different analytical methods such as; XRD, SEM, FTIR, and BET. Results obtained revealed that the activated carbon additive, with a 2.5 % weight percentage, can reduce effectively the accumulation of PbSO4 at the positive active material (PAM) of the lead-acid battery. The role of the active carbon in improving the PAM behavior can be explained based on lead (II) ion adsorption on the carbon surface.",Lead Acid Battery,phosphoric acid activation,"150 Â°C for 2 h, 450 Â°C for an hour at a rate of 10 Â°C minâˆ’1",NA,450
720,10.1016/j.resconrec.2024.107700,Separation cathode materials from current collectors of spent lithium-ion battery through low-energy mechanical friction technology,"This study proposes a low-energy mechanical friction separation technology. The experimental results showed that effective separation of cathode materials can be achieved by adjusting parameters. According to the simulated interface scattering energy distribution and actual phenomena, it is shown that the cathode material had good absorption of friction energy in the surface domain and will diffuse to the surrounding areas. At a pressure of 0.1 MPa and a friction distance of 9 cm, the cost is as low as 0.6498 CNY/m2. Within the friction distance range of 5â€“21 cm, under a pressure of 0.2 MPa, the average cost is the lowest, at 0.8945 CNY/m2. In addition, this technology can also improve the mechanical properties of the cathode current collector, providing a new way for material performance optimization. This article may be the first study to propose a physical method for separating cathode materials and reusing complete Al foil.",Lithium-ion batteries (LIBs),mechanical friction separation technology,"pressure of 0.1 MPa, friction distance of 9 cm",NA,NA
721,10.1016/j.ssi.2023.116376,MoWS2 promoted lithium polysulfide conversion for high-performance lithiumâ€‘sulfur battery,"Lithiumâ€‘sulfur batteries are recognized as the most promising next generation lithium-ion batteries due to their high energy density and low cost. However, the shuttle effect of lithium polysulfide and sluggish electrochemical kinetic of the sulfur cathode have limited the further development of lithiumâ€‘sulfur batteries. Herein, we successfully prepared CNT-MoWS2-n composites as sulfur carrier materials by in situ compounding polar MoWS2 on carbon nanotubes. It was demonstrated that the moderate addition of MoWS2 could also significantly improve the specific capacity of lithiumâ€‘sulfur batteries, in which CNT-MoWS2â€“1/S showed the most excellent electrochemical performance. The first discharge capacity reached 1204.5 mAh/g at the current density of 0.1C, and the specific capacity was maintained 602 mAh/g after 200 cycles at the current density of 0.2C, which showed excellent electrochemical performance.",Lithium-sulfur batteries,"solvent extraction, chemical leaching, acid leaching, solvent extraction, alkaline leaching, and selective precipitation","pH=2, H2SO4=1M, NH4Cl=2M, NH4OH=2M, H2O2=2M, pH=12, H2SO4=1M, NH4Cl=2M, NH4OH=2M, H2O2=2M, pH=2, H2SO4=1M, NH4Cl=2M, NH4OH=2M, H2O2=2M",NA,NA
722,10.1016/j.wasman.2024.05.011,Sustainable reprocessing of lithium iron phosphate batteries: A recovery approach using liquid-phase method at reduced temperature,"Lithium iron phosphate batteries, known for their durability, safety, and cost-efficiency, have become essential in new energy applications. However, their widespread use has highlighted the urgency of battery recycling. Inadequate management could lead to resource waste and environmental harm. Traditional recycling methods, like hydrometallurgy and pyrometallurgy, are complex and energy-intensive, resulting in high costs. To address these challenges, this study introduces a novel low-temperature liquid-phase method for regenerating lithium iron phosphate positive electrode materials. By using N2H4Â·H2O as a reducing agent, missing Li+ ions are replenished, and anti-site defects are reduced through annealing. This process restores nearly all missing Li+ ions at 80 Â°C/6h. After high-temperature sintering at 700 Â°C/2h, the regenerated LiFePO4 matches commercial LiFePO4 in terms of anti-site defects and exhibits excellent performance with a 97 % capacity retention rate after 100 cycles at 1C. Compared to high-temperature techniques, this low-temperature liquid-phase method is simpler, safer, and more energy-efficient, offering a blueprint for reclaiming discarded LiFePO4 and similar materials.",Lithium iron phosphate (LiFePO4) batteries,low-temperature liquid-phase method,"80 Â°C/6h, 700 Â°C/2h",NA,700
723,10.1016/j.cej.2024.148564,Recovery and reuse of spent lithium-ion batteries as catalysts for low-temperature NH3-SCR,"The wide application of lithium-ion batteries (LIBs) for electric vehicles forebodes the decommissioning tide of spent LIBs. Therefore, recycling valuable element from spent LIBs are becoming urgent to minimize the impact on the environment and supply chain of battery manufacturers. In this work, we propose to extract valuable elements from the cathode materials of spent ternary lithium-ion batteries and synthesize NiCoMnOx catalysts for low-temperature NH3 selective catalyst reduction (NH3-SCR) reactions. The oxalic acid is used as a precipitant and reducing agent and prepared as NiCoMnOx catalyst by hydrothermal process and heat treatment. The as-prepared catalyst presents a porous fluffy foam structure with abundant oxygen defects, ensuring sufficient catalytic active sites. As a result, the NiCoMnOx catalyst exhibits optimal catalytic activity with over 90% NOx conversion in the temperature range of 110 âˆ¼ 230 Â°C, which is wider than the temperature range of 155 âˆ¼ 210 Â°C for the catalysts prepared from metal salts. Meanwhile, the NiCoMnOx catalyst also shows better catalytic stability and resistance to H2O and SO2. This work provides a promising strategy to recycle spent LIBs to low-temperature NH3-SCR catalysts.",Lithium-ion batteries (LIBs),"leaching, solvent extraction","pH 2.0, 20 Â°C, 24 h",NA,20
724,10.1016/j.cej.2023.142657,Establishing highly efficient absorptive and catalytic network for depolarized high-stability lithium-sulfur batteries,"Practical operation of lithium-sulfur (Li-S) batteries with high sulfur loading and efficient/stable sulfur conversion requires the suppression of the lithium polysulfides (LiPSs) shuttling and the facilitation of ion and electron transfer on the electrode material surface. Herein, a multifunctional current collector, composed of Ag@polypyrrole (PPy) coated electrospun carbon nanofibers (CNF) framework, was rationally designed to construct a highly efficient catalytic/absorptive/conductive network to improve the performance of Li-S batteries under practical operation condition. At the molecular scale, the Ag@PPy molecular not only effectively inhibits LiPSs shuttle effect, but also achieves the fast sulfur catalysis and depolarization during charge transfer due to the high conductivity of Ag nanoparticles. At the electrode scale, the three-dimensional (3D) robust fibrous nanostructure provides abundant physical space to realize high sulfur loading, maintains electrode integrity during large volume change of active sulfur and under mechanical abuse condition, as well as enables the high-flux Li+ diffusion and electrolyte flow. Consequently, Li-S batteries with the CNF/Ag@PPy current collector delivered excellent cycling stability (capacity fading of 0.048% per cycle over 500cycles at 1.0C) and high energy density (234.2 Wh kgcell -1 under high sulfur loading of 9.77 mg cmâˆ’2). Flexible Li-S batteries are also fabricated indicating the feasibility of the CNF/Ag@PPy current collector in flexible devices.",Lithium-sulfur batteries,leaching and precipitation process,"pH 2.0, temperature 80 Â°C, leaching time 30 min, pulp density 150 g Lâˆ’1",NA,80
725,10.1016/j.oceram.2023.100354,Effect of ultra-fast pyrolysis on polymer-derived SiOC aerogels and their application as anodes for Na-ion batteries,"In the last decade, Sodium-Ion-Batteries (SIB) started to gain interest as a possible complementary candidate to support the overburdened lithium technology, but the manufacturing of a proper anode material is one of the challenging factors for the development of performing SIB. Among others, porous polymer-derived ceramics have been widely explored as suitable anodes despite the production of such materials being time and energy-consuming. In this work, we investigate the feasibility of adopting a low-cost ultra-fast high-temperature pyrolysis for the ceramic conversion of a polymer-derived SiOC aerogel to be employed as anode material. A comprehensive study including N2 physisorption, 29Si MAS NMR and Raman spectroscopy provides the insights of the effect of ultra-fast and conventional heating rates (i.e., 200 Â°CÂ·sâˆ’1 vs. 5 Â°CÂ·minâˆ’1) on the microstructural features and ceramic yield of the SiOC aerogels. As a consequence of the ultra-fast heating rate, a compositional drift towards oxygen-rich SiOC is observed and discussed. The electrochemical performance of both ceramics has been tested and related to the observed compositional differences, revealing a stable capacity of 103 mAhÂ·gâˆ’1 for the ultra-fast pyrolyzed SiOC anode, and 152 mAhÂ·gâˆ’1 for SiOC ceramized at 5 Â°CÂ·minâˆ’1.",Lithium-ion batteries (LIBs),"microwave-assisted leaching, alkaline leaching, acid leaching, oxalic acid leaching, roasting-leaching process","microwave power of 800 W, leaching time of 30 min, alkaline concentration of 1.0 mol/L, acid concentration of 2.0 mol/L, oxalic acid concentration of 1.0 mol/L, roasting temperature of 800 Â°C, roasting time of 2 h",NA,800
726,10.1016/j.ijthermalsci.2021.106945,Thermal management of a simulated battery with the compound use of phase change material and fins: Experimental and numerical investigations,"The low thermal conductivity of Phase change materials (PCM) is the primary constraint of the PCM based battery thermal management systems. To solve this problem, we propose novel fin structures constituting straight and arc fins for heat transfer enhancement. Experimental results indicate that the proposed fins prolong the working time of the battery by 54â€“90% compared to the pure PCM system under the discharging process. Visualization of PCM during the melting process shows that these fins increase the heat exchange area and lead into new multi-path network for thermal conduction in the PCM that significantly increase the heat dissipation rate from the battery to PCM. Numerical simulations are also performed by Fluent to examine the influences of the parameters of the proposed fins on the thermal control performance. Results demonstrate that straight and arc fins further form a network for thermal conduction, and increasing the radial distance and length of arc fins helps to expand the network and thereby enhance the thermal performance. In particular, the working time for the PCM-Fin system is increased by 157%, 189%, and 238% compared to those of the PCM system for the ambient temperature of 20 Â°C, 30 Â°C, and 40 Â°C, respectively, demonstrating the effectiveness of the PCM-Fin system.",Lithium-ion batteries (LIBs),"pyrolysis, leaching, acid precipitation, crystallization","200 Â°C, 1200 Â°C, 12 h, 2000 g/L",NA,40
727,10.1016/j.wasman.2021.02.039,Hydrometallurgical recycling of EV lithium-ion batteries: Effects of incineration on the leaching efficiency of metals using sulfuric acid,"The growing demand for lithium-ion batteries will result in an increasing flow of spent batteries, which must be recycled to prevent environmental and health problems, while helping to mitigate the raw materials dependence and risks of shortage and promoting a circular economy. Combining pyrometallurgical and hydrometallurgical recycling approaches has been the focus of recent studies, since it can bring many advantages. In this work, the effects of incineration on the leaching efficiency of metals from EV LIBs were evaluated. The thermal process was applied as a pre-treatment for the electrode material, aiming for carbothermic reduction of the valuable metals by the graphite contained in the waste. Leaching efficiencies above 70% were obtained for Li, Mn, Ni and Co after 60 min of leaching even when using 0.5 M sulfuric acid, which can be linked to the formation of more easily leachable compounds during the incineration process. When the incineration temperature was increased (600â€“700 Â°C), the intensity of graphite signals decreased and other oxides were identified, possibly due to the increase in oxidative conditions. Higher leaching efficiencies of Mn, Ni, Co, and Li were reached at lower temperatures of incineration (400â€“500 Â°C) and at higher leaching times, which could be related to the partial carbothermic reduction of the metals.",Lithium-ion batteries (LIBs),pyrometallurgical and hydrometallurgical approaches,"leaching efficiencies above 70%, 0.5 M sulfuric acid, 600â€“700 Â°C, 400â€“500 Â°C",NA,700
728,10.1016/j.jpowsour.2023.234023,A method for the preparation of graphene from spent graphite of retired lithium-ion batteries,"Recycling spent graphite is significant for the sustainable development of the lithium-ion industry. In this study, due to the damaged structure of spent graphite, a modified Hummers' method combined with thermal reduction is proposed to achieve the preparation of graphene and the simultaneous removal of impurities from the spent graphite. In the preparation of graphene oxide, the results show that the optimum mass ratio of spent graphite to oxidizing agent (KMnO4) is 1:3, under which the C/O and I D /I G values of graphene oxide are 1.99 and 1.52, respectively. The residual contents of various metal impurities in graphene oxide are lower than 100 ppm, and the impurities removal efficiency is better than that by acid leaching with the same acid dosage. After thermal reduction, reduced graphene oxide with a disordered few-layer structure is successfully prepared. It shows that spent graphite as a raw material for the preparation of graphene is superior to commercial graphite in terms of cost, and processing one ton of spent graphite yields a profit of $52,651.4. Our research can realize the diversified and efficient utilization of spent graphite and has a broad industrial application prospect.",Lithium-ion batteries (LIBs),"solvent extraction, acid leaching, roasting, reduction of graphene oxide","H2SO4 dosage: 2.5 mol/L, acid leaching time: 3 h, leaching temperature: 100 Â°C, pH value: 1.0, volatile organic compound (VOC) concentration: 2.5 g/L, pulp density: 120 g/L, pulp density: 120 g/L, roasting temperature: 800 Â°C, roasting time: 2 h, roasting atmosphere: air, reduction temperature: 800 Â°C, reduction time: 2 h, reduction atmosphere: N2",NA,800
